OTU,mean.group1.,variance.group1.,stderr.group1.,mean.group2.,variance.group2.,stderr.group2.,p.value,q.value,Kingdom,Phylum,Class,Order,Family,Genus,Species
Otu01697,7.9e-05,0,7.9e-05,3e-06,0,3e-06,0,0,Bacteria(100),Firmicutes(100),Firmicutes_unclassified(100),Firmicutes_unclassified(100),Firmicutes_unclassified(100),Firmicutes_unclassified(100),
Otu01711,3e-06,0,3e-06,8.4e-05,0,7.2e-05,0,0,Bacteria(100),Bacteroidetes(100),Bacteroidia(100),Bacteroidales(100),Bacteroidaceae(100),Bacteroides(100),
Otu01786,8.4e-05,0,8.4e-05,0,0,0,0,0,Bacteria(100),Bacteria_unclassified(100),Bacteria_unclassified(100),Bacteria_unclassified(100),Bacteria_unclassified(100),Bacteria_unclassified(100),
Otu02003,6.6e-05,0,5.9e-05,0,0,0,0,0,Bacteria(100),Firmicutes(100),Clostridia(100),Clostridiales(100),Lachnospiraceae(100),Lachnospiraceae_unclassified(97),
Otu02018,0,0,0,5.8e-05,0,5.8e-05,0,0,Bacteria(100),Bacteria_unclassified(100),Bacteria_unclassified(100),Bacteria_unclassified(100),Bacteria_unclassified(100),Bacteria_unclassified(100),
Otu02250,0,0,0,5.8e-05,0,5.8e-05,0,0,Bacteria(100),Firmicutes(100),Firmicutes_unclassified(100),Firmicutes_unclassified(100),Firmicutes_unclassified(100),Firmicutes_unclassified(100),
Otu02500,0,0,0,5.8e-05,0,5.2e-05,0,0,Bacteria(100),Bacteroidetes(100),Bacteroidia(100),Bacteroidales(100),Rikenellaceae(100),Alistipes(100),
Otu00686,3e-06,0,3e-06,6.1e-05,0,5.8e-05,2e-06,0.00127377777777778,Bacteria(100),Bacteroidetes(100),Bacteroidetes_unclassified(100),Bacteroidetes_unclassified(100),Bacteroidetes_unclassified(100),Bacteroidetes_unclassified(100),
Otu01789,5.4e-05,0,5.1e-05,0,0,0,2e-06,0.00127377777777778,Bacteria(100),Bacteroidetes(100),Bacteroidia(100),Bacteroidales(100),Prevotellaceae(100),Prevotellaceae_unclassified(100),
Otu00857,1.3e-05,0,7e-06,8.7e-05,0,2.9e-05,3e-06,0.001433,Bacteria(100),Firmicutes(100),Clostridia(99),Clostridiales(99),Clostridiales_unclassified(99),Clostridiales_unclassified(99),
Otu01537,5.1e-05,0,3.6e-05,0,0,0,3e-06,0.001433,Bacteria(100),Firmicutes(100),Clostridia(100),Clostridiales(100),Lachnospiraceae(89),Lachnospiraceae_unclassified(89),
Otu01606,6.4e-05,0,4.3e-05,3e-06,0,3e-06,3e-06,0.001433,Bacteria(100),Firmicutes(100),Erysipelotrichia(100),Erysipelotrichales(100),Erysipelotrichaceae(100),Faecalicoccus(100),
Otu00998,5e-06,0,4e-06,6.3e-05,0,2.4e-05,5e-06,0.00220461538461538,Bacteria(100),Firmicutes(100),Clostridia(100),Clostridiales(100),Clostridiales_unclassified(100),Clostridiales_unclassified(100),
Otu01155,6.1e-05,0,5.9e-05,3e-06,0,3e-06,6e-06,0.00245657142857143,Bacteria(100),Firmicutes(100),Clostridia(100),Clostridiales(100),Clostridiales_unclassified(100),Clostridiales_unclassified(100),
Otu01773,8.7e-05,0,8.7e-05,1.4e-05,0,1.4e-05,8e-06,0.00305706666666667,Bacteria(100),Bacteroidetes(100),Bacteroidia(100),Bacteroidales(100),Prevotellaceae(100),Prevotellaceae_unclassified(100),
Otu01360,0,0,0,4.3e-05,0,3.3e-05,1.2e-05,0.004299,Bacteria(100),Bacteria_unclassified(100),Bacteria_unclassified(100),Bacteria_unclassified(100),Bacteria_unclassified(100),Bacteria_unclassified(100),
Otu00966,6.9e-05,0,4e-05,9e-06,0,6e-06,2.5e-05,0.00796111111111111,Bacteria(100),Actinobacteria(100),Actinobacteria(100),Coriobacteriales(100),Coriobacteriaceae(100),Slackia(100),
Otu01326,6.9e-05,0,3.3e-05,9e-06,0,6e-06,2.5e-05,0.00796111111111111,Bacteria(100),Firmicutes(100),Clostridia(100),Clostridiales(100),Ruminococcaceae(100),Oscillibacter(100),
Otu01540,5e-06,0,4e-06,5.8e-05,0,2.4e-05,3.7e-05,0.0111623157894737,Bacteria(100),Firmicutes(100),Clostridia(100),Clostridiales(100),Clostridiales_unclassified(100),Clostridiales_unclassified(100),
Otu00420,1.8e-05,0,1.3e-05,8.7e-05,0,7.5e-05,4e-05,0.011464,Bacteria(100),Bacteroidetes(100),Bacteroidia(100),Bacteroidales(100),Bacteroidales_unclassified(100),Bacteroidales_unclassified(100),
Otu01913,0,0,0,3.7e-05,0,3.7e-05,5.4e-05,0.0147394285714286,Bacteria(100),Bacteria_unclassified(100),Bacteria_unclassified(100),Bacteria_unclassified(100),Bacteria_unclassified(100),Bacteria_unclassified(100),
Otu01072,5.9e-05,0,3.1e-05,6e-06,0,4e-06,5.7e-05,0.0148510909090909,Bacteria(100),Bacteroidetes(100),Bacteroidetes_unclassified(97),Bacteroidetes_unclassified(97),Bacteroidetes_unclassified(97),Bacteroidetes_unclassified(97),
Otu01197,8.4e-05,0,6e-05,1.7e-05,0,1.5e-05,6.8e-05,0.0169467826086956,Bacteria(100),Fusobacteria(100),Fusobacteriia(100),Fusobacteriales(100),Fusobacteriaceae(100),Cetobacterium(100),
Otu01991,6.4e-05,0,5.6e-05,9e-06,0,6e-06,7.5e-05,0.0179125,Bacteria(100),Firmicutes(100),Firmicutes_unclassified(100),Firmicutes_unclassified(100),Firmicutes_unclassified(100),Firmicutes_unclassified(100),
Otu01569,3.8e-05,0,3.8e-05,0,0,0,8.6e-05,0.01971808,Bacteria(100),Firmicutes(100),Clostridia(100),Clostridiales(100),Clostridiales_unclassified(100),Clostridiales_unclassified(100),
Otu00930,8.2e-05,0,6.2e-05,1.7e-05,0,1.1e-05,0.000112,0.0212638709677419,Bacteria(100),Bacteria_unclassified(100),Bacteria_unclassified(100),Bacteria_unclassified(100),Bacteria_unclassified(100),Bacteria_unclassified(100),
